vin,km,images[0],images[1],images[2],user,specs.longType,specs.marca,specs.modelo,specs.version,specs.carroceria,specs.motor,specs.combustible,specs.cambio,specs.cilindros,specs.traccion,specs.potenciaKW,specs.potenciaCV,specs.parNm,specs.aceleracion,specs.velocidadMax,specs.neumaticoDelantero,specs.neumaticoTrasero,specs.emisionesCO2,specs.claseEmisiones,specs.colorEmisiones
WDD2050641R377990,67564,https://res.cloudinary.com/dileah1ig/image/upload/v1761136393/vehicles/WDD2050641R377990/ijfimfw3dh5xbhvldua2.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136395/vehicles/WDD2050641R377990/drcuhggml1rdbx7hazly.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136397/vehicles/WDD2050641R377990/vvtolyzj7hqcysjxpukk.webp,68f8dcff299b2295231e3465,Mercedes-AMG C 43 4MATIC Berlina,Mercedes-Benz,C,CZAA0504,Berlina,2996,Gasolina,automático,V6,4x4 (AWD),270,367,520,4.7,250,225/45 ZR18 Extra Load,245/40 ZR18 Extra Load,183,E,#FFBA7A
WDD2050041R270389,5643,https://res.cloudinary.com/dileah1ig/image/upload/v1761136419/vehicles/WDD2050041R270389/gogicybrsifahjxohkat.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136421/vehicles/WDD2050041R270389/trfjcxdpnoo2uzfe2xob.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136423/vehicles/WDD2050041R270389/biyclefzxb02a6oaf8gh.webp,68f8dcff299b2295231e3466,C 220 d berlina,Mercedes-Benz,C,CZAA0572,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.5,235,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
WDC1569521J609074,78532,https://res.cloudinary.com/dileah1ig/image/upload/v1761136437/vehicles/WDC1569521J609074/k2xyybmfi6toptiokbsg.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136439/vehicles/WDC1569521J609074/fion4st0r2upduvtifoh.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136440/vehicles/WDC1569521J609074/fl7kvngejhomfgcd0xfu.webp,68f8dcff299b2295231e3467,Mercedes-AMG GLA 45 4MATIC Sport Utility Vehicle,Mercedes-Benz,GLA,DZAA150A,Todoterreno,1991,Gasolina,automático,4,4x4 (AWD),280,381,475,4.4,250,235/45 ZR19 99Y XL,235/45 ZR19 99Y XL,213,F,#FF886D
W1N2539531F897822,8643,https://res.cloudinary.com/dileah1ig/image/upload/v1761136452/vehicles/W1N2539531F897822/bwncyxormgvd7cfdcpgb.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136454/vehicles/W1N2539531F897822/nj0zj4ejyvzyv6ehuvqi.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136455/vehicles/W1N2539531F897822/vgtlj8buymxybncdgqvf.webp,68f8dcff299b2295231e3468,GLC 300 e 4MATIC,Mercedes-Benz,GLC,CZAA050A,Todoterreno,1991,Hibrido,automático,4,4x4 (AWD),155,211,350,5.7,230,235/60 R18,235/60 R18,190,E,#FFBA7A
WDD2050041R085871,86545,https://res.cloudinary.com/dileah1ig/image/upload/v1761136469/vehicles/WDD2050041R085871/esdtrsipfn7cjgu1axgk.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136472/vehicles/WDD2050041R085871/o830z2wligsogdiy26h8.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136473/vehicles/WDD2050041R085871/jmg68wa3ni2rfu8ykzaz.webp,68f8dcff299b2295231e3469,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB573,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,113,A,#69E99B
WDD1770441N135618,5634,https://res.cloudinary.com/dileah1ig/image/upload/v1761136537/vehicles/WDD1770441N135618/gpgcfntqh6m2afqe0cll.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136539/vehicles/WDD1770441N135618/hlo0cwejics9lmrcv5ws.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136541/vehicles/WDD1770441N135618/lpdgtq3pb6dmepxhv4ze.webp,68f8dcff299b2295231e346a,A 220 Compacto,Mercedes-Benz,A,GZAA152A,Compacto,1991,Gasolina,automático,4,4x2 (FWD),140,190,300,6.9,240,205/55 R17,205/55 R17,161,D,#FFD54D
WDD2052081F420870,5464,https://res.cloudinary.com/dileah1ig/image/upload/v1761136554/vehicles/WDD2052081F420870/x0lnfae8gxbonijbfpok.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136556/vehicles/WDD2052081F420870/h8dbgoywtzmceuzrj17i.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136558/vehicles/WDD2052081F420870/rvimhwzwv7px1l6nkcvv.webp,68f8dcff299b2295231e346b,C 250 d Estate,Mercedes-Benz,C,NZAZ0521,Estate,2143,Diesel,automático,4,4x2 (RWD),150,204,500,6.9,241,205/60 R16 92W,205/60 R16 92W,117,A,#69E99B
WDD1770031N051406,567543,https://res.cloudinary.com/dileah1ig/image/upload/v1761136571/vehicles/WDD1770031N051406/mprtzpijsiwforegdh5w.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136572/vehicles/WDD1770031N051406/hw7czvwybjfszvhupi5y.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136574/vehicles/WDD1770031N051406/q0pb0b5snazmn0uji8q8.webp,68f8dcff299b2295231e346c,A 180 d Compacto,Mercedes-Benz,A,EZAA151B,Compacto,1461,Diesel,automático,4,4x2 (FWD),85,116,260,10.5,202,205/60 R16,205/60 R16,126,B,#94E890
WDD2050141R437722,76556,https://res.cloudinary.com/dileah1ig/image/upload/v1761136592/vehicles/WDD2050141R437722/pppzuncqqjlrofra6e84.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136593/vehicles/WDD2050141R437722/p9fs23xejhfcirhedzvp.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136595/vehicles/WDD2050141R437722/luyemynvdyl87hoixf7s.webp,68f8dcff299b2295231e346d,C 220 d Berlina,Mercedes-Benz,C,CZAA157A,Berlina,1950,Diesel,automático,4,4x2 (RWD),143,194,400,6.9,240,225/50 R17 94W,225/50 R17 94W,145,C,#D2E165
WDD2053451F368097,5464,https://res.cloudinary.com/dileah1ig/image/upload/v1761136610/vehicles/WDD2053451F368097/kniiuxm6nljfec8n7zbx.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136613/vehicles/WDD2053451F368097/gfo3ij8upfzte8tyr9qm.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136615/vehicles/WDD2053451F368097/aozzqwy1ttmyzd0oq6si.webp,68f8dcff299b2295231e346e,C 250 Coupé,Mercedes-Benz,C,NZAA1412,Coupé,1991,Gasolina,automático,4,4x2 (RWD),155,211,350,6.8,250,225/50 R17,225/50 R17,133,B,#94E890
WDD1770871N082557,3434,https://res.cloudinary.com/dileah1ig/image/upload/v1761136631/vehicles/WDD1770871N082557/fqproeqju0d6xbxwnav2.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136634/vehicles/WDD1770871N082557/avgqtgzaohxrqcpxkdy1.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136635/vehicles/WDD1770871N082557/ueao6ptxnw5kricudycq.webp,68f8dcff299b2295231e346f,A 200 Compacto,Mercedes-Benz,A,FZAA150B,Compacto,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.0,225,205/60 R16,205/60 R16,144,C,#D2E165
W1NKJ5BB9RF184892,6433,https://res.cloudinary.com/dileah1ig/image/upload/v1761136722/vehicles/W1NKJ5BB9RF184892/c4tnf1macvucwuer6n5b.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136724/vehicles/W1NKJ5BB9RF184892/svsdgoubitvokyszwjo5.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136726/vehicles/W1NKJ5BB9RF184892/sy9ehu5byomfyiliqzsp.webp,68f8dcff299b2295231e3470,GLC 200 4MATIC Coupé,Mercedes-Benz,GLC,CZAA052A,Coupé,1999,Gasolina,automático,4,4x4 (AWD),150,204,320,7.9,227,235/60 R18,235/60 R18,167,E,#FFBA7A
WDD1179031N602711,4564,https://res.cloudinary.com/dileah1ig/image/upload/v1761136740/vehicles/WDD1179031N602711/qq0aqabv2xjljpngdyk1.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136742/vehicles/WDD1179031N602711/kavvbo6sgg2fuuuj9niu.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136744/vehicles/WDD1179031N602711/htadimgsxmciorxw9ygf.webp,68f8dcff299b2295231e3471,CLA 220 d Shooting Brake,Mercedes-Benz,CLA,MZBA1502,Shooting Brake,2143,Diesel,automático,4,4x2 (FWD),130,177,350,7.8,228,225/45 R17,225/45 R17,108,A,#69E99B
WDD1186121N079061,4543,https://res.cloudinary.com/dileah1ig/image/upload/v1761136758/vehicles/WDD1186121N079061/ao72a1tpnasu81ovuo0a.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136760/vehicles/WDD1186121N079061/a6awbolqi2bufeyu2iks.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136762/vehicles/WDD1186121N079061/j9bqjim3ya7d7u7yk5fi.webp,68f8dcff299b2295231e3472,CLA 200 d Shooting Brake,Mercedes-Benz,CLA,HZAA154A,Shooting Brake,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.4,221,205/60 R16,205/60 R16,134,B,#94E890
WDD1760521J273123,45344,https://res.cloudinary.com/dileah1ig/image/upload/v1761136777/vehicles/WDD1760521J273123/v7q1t5ikcwzwvy1nhwvm.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136779/vehicles/WDD1760521J273123/qrmk88bagqvs2aftttrl.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136781/vehicles/WDD1760521J273123/tppxiapenjonsebb9bgw.webp,68f8dcff299b2295231e3473,A 45 AMG 4MATIC,Mercedes-Benz,A,DZAAB504,Berlina,1991,Gasolina,automático,4,4x4 (AWD),265,360,450,4.6,250,235/40 R18 95 XL,235/40 R18 95 XL,161,D,#FFD54D
WDD2050041F025893,7789,https://res.cloudinary.com/dileah1ig/image/upload/v1761136795/vehicles/WDD2050041F025893/btdgb7firr756wamaits.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136797/vehicles/WDD2050041F025893/xpr8sznotqpjwtqj9nqi.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136799/vehicles/WDD2050041F025893/f1uvauyhjyjpe0cp2u3g.webp,68f8dcff299b2295231e3474,C 220 BlueTEC berlina,Mercedes-Benz,C,NZAAB574,Berlina,2143,Diesel,automático,4,4x2 (RWD),125,170,400,7.4,233,205/60 R16,205/60 R16,117,A,#69E99B
WDD1179081N538388,6765,https://res.cloudinary.com/dileah1ig/image/upload/v1761136814/vehicles/WDD1179081N538388/tlozjebewrxjldcfhx1k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136817/vehicles/WDD1179081N538388/vn2gshhbs16ffuvdmac3.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136819/vehicles/WDD1179081N538388/ngpvoof5cwjzpxqv4f5l.webp,68f8dcff299b2295231e3475,CLA 200 d Shooting Brake,Mercedes-Benz,CLA,MZBA1502,Shooting Brake,2143,Diesel,automático,4,4x2 (FWD),100,136,300,9.2,215,205/55 R16 91V,205/55 R16 91V,106,A,#69E99B
W1K1183121N176682,7544,https://res.cloudinary.com/dileah1ig/image/upload/v1761136830/vehicles/W1K1183121N176682/vxatpuyj24cgtyena04p.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136832/vehicles/W1K1183121N176682/jvusmvnghthc4fznwhjj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136834/vehicles/W1K1183121N176682/htlfem60adi1pcdkdjap.webp,68f8dcff299b2295231e3476,CLA 200 d Coupé,Mercedes-Benz,CLA,HZAA154A,Coupé,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.3,226,205/60 R16,205/60 R16,133,B,#94E890
WDD1770871N028293,7865,https://res.cloudinary.com/dileah1ig/image/upload/v1761136900/vehicles/WDD1770871N028293/jpy3rb6dmqjnrskw2tig.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136901/vehicles/WDD1770871N028293/q6fxzdmjv2g4izqot3vc.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136903/vehicles/WDD1770871N028293/jfs6niynlyivuo8gi72s.webp,68f8dcff299b2295231e3477,A 200 Compacto,Mercedes-Benz,A,FZAZ150B,Compacto,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.0,225,N/A,N/A,143,C,#D2E165
WDD2050071R220653,7456,https://res.cloudinary.com/dileah1ig/image/upload/v1761136921/vehicles/WDD2050071R220653/zjmsxwdhbfjlqhaj4wk4.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136923/vehicles/WDD2050071R220653/ybdt4ff7ggrgykeb4fty.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136925/vehicles/WDD2050071R220653/dtmk6ow7nnysvemtdg20.webp,68f8dcff299b2295231e3478,C 200 d berlina,Mercedes-Benz,C,NZAA0522,Berlina,2143,Diesel,automático,4,4x2 (RWD),100,136,350,10.2,214,205/60 R16 92V,205/60 R16 92V,117,A,#69E99B
W1K2573141A092512,5642,https://res.cloudinary.com/dileah1ig/image/upload/v1761136941/vehicles/W1K2573141A092512/mas34ifzushggt25tf5d.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136942/vehicles/W1K2573141A092512/ajwmwmyov1syqcm8a21k.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136943/vehicles/W1K2573141A092512/izyysd1lceruritvjrge.webp,68f8dcff299b2295231e3479,CLS 220 d,Mercedes-Benz,CLS,CZAA151A,Coupé,1950,Diesel,automático,4,4x2 (RWD),143,194,400,7.5,237,245/45 R18,275/40 R18,147,C,#D2E165
WDC2923751A103364,8564,https://res.cloudinary.com/dileah1ig/image/upload/v1761136956/vehicles/WDC2923751A103364/e5ecqzzpqol10ujiybzn.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136958/vehicles/WDC2923751A103364/g5upkbvr4un2zeshtbl4.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136960/vehicles/WDC2923751A103364/wipxuhclpwvktyv0upry.webp,68f8dcff299b2295231e347a,Mercedes-AMG GLE 63 S 4MATIC Coupé,Mercedes-Benz,GLE,RZAAA504,Coupé,5461,Gasolina,automático,V8,4x4 (AWD),430,585,760,4.2,250,285/40 ZR22 106Y,325/35 ZR22 110Y,278,G,#FF5F5F
W1K2938901F012825,747897,https://res.cloudinary.com/dileah1ig/image/upload/v1761136973/vehicles/W1K2938901F012825/hnm4eswtwff9l42i6uat.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136975/vehicles/W1K2938901F012825/szj4qtmztjilzifhhadw.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136978/vehicles/W1K2938901F012825/qgmbg6xb4cqjijlf2aje.webp,68f8dcff299b2295231e347b,EQC 400 4MATIC,Mercedes-Benz,EQC,ZZAC050A,Todoterreno,N/A,Electrico,automático,N/A,4x4 (AWD),300,408,0,5.1,180,235/55 R19 101V,255/50 R19 103V,0,A,#69E99B
W1K4F1CB1RJ583999,2000,https://res.cloudinary.com/dileah1ig/image/upload/v1761136992/vehicles/W1K4F1CB1RJ583999/qoz9nfqu760jbmtavvtz.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136993/vehicles/W1K4F1CB1RJ583999/bbqbihynmxwcwxddadlw.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761136994/vehicles/W1K4F1CB1RJ583999/duchhakkxsons3ll6kzu.webp,68f8dcff299b2295231e347c,B 200 d,Mercedes-Benz,B,HZAA150B,Sports Tourer,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.5,219,205/60 R16,205/60 R16,137,B,#94E890
W1K2906611A046941,56546,https://res.cloudinary.com/dileah1ig/image/upload/v1761137059/vehicles/W1K2906611A046941/knok6moyvovkuspolktr.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137060/vehicles/W1K2906611A046941/k7bbiwka6pggjwu8y6iy.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137061/vehicles/W1K2906611A046941/o2dyfbikfrlbdzuwbrzu.webp,68f8dcff299b2295231e347d,Mercedes-AMG GT 53 4MATIC+,Mercedes-Benz,GT,CZAA05LA,Cupé de 4 puertas,2999,Gasolina,automático,6,4x4 (AWD),320,435,520,4.5,285,255/45 ZR19 104Y XL,285/40 ZR19 107Y XL,222,F,#FF886D
W1N1671591A275580,78554,https://res.cloudinary.com/dileah1ig/image/upload/v1761137073/vehicles/W1N1671591A275580/ru4odgwcye29hczsorah.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137074/vehicles/W1N1671591A275580/ufoicxhhtjagtwl2odxo.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137076/vehicles/W1N1671591A275580/wvghe2evv8ds0hes7ivu.webp,68f8dcff299b2295231e347e,GLE 450 4MATIC,Mercedes-Benz,GLE,CZAAD57A,Todoterreno,2999,Gasolina,automático,6,4x4 (AWD),270,367,500,5.7,250,255/50 R19,255/50 R19,216,F,#FF886D
WDD1186871N030148,9765,https://res.cloudinary.com/dileah1ig/image/upload/v1761137088/vehicles/WDD1186871N030148/sfnslopoctrshqxn8sxc.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137089/vehicles/WDD1186871N030148/tbgrm9esk1waj3gg064b.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137090/vehicles/WDD1186871N030148/hfjwaq4y0hzycjcothzk.webp,68f8dcff299b2295231e347f,CLA 200 Shooting Brake,Mercedes-Benz,CLA,FZAA154A,Shooting Brake,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.4,226,205/60 R16,205/60 R16,145,C,#D2E165
W1K1183871N085107,4564,https://res.cloudinary.com/dileah1ig/image/upload/v1761137147/vehicles/W1K1183871N085107/ejnsn5a0ttdkna03u0nj.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137149/vehicles/W1K1183871N085107/jxdwipqgp9h3dvwwctkw.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137150/vehicles/W1K1183871N085107/zexhkwayas4uqsjgpcvm.webp,68f8dcff299b2295231e3480,CLA 200 Coupé,Mercedes-Benz,CLA,FZAA154A,Coupé,1332,Gasolina,automático,4,4x2 (FWD),120,163,250,8.2,229,205/60 R16,205/60 R16,148,C,#D2E165
W1N4M1DB5PW335925,65675,https://res.cloudinary.com/dileah1ig/image/upload/v1761137162/vehicles/W1N4M1DB5PW335925/l2mzxqcaghzmavh6ff7b.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137164/vehicles/W1N4M1DB5PW335925/om0iy12cxohacwehuwqn.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137165/vehicles/W1N4M1DB5PW335925/nu9ztx8qhxwym3gadctt.webp,68f8dcff299b2295231e3481,GLB 200 d 4MATIC,Mercedes-Benz,GLB,JZAA170A,Todoterreno,1950,Diesel,automático,4,4x4 (AWD),110,150,320,9.3,201,215/65 R17,215/65 R17,155,C,#D2E165
W1K1186861N201366,4567,https://res.cloudinary.com/dileah1ig/image/upload/v1761137178/vehicles/W1K1186861N201366/h8hemhdrfqwayvr4apus.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137180/vehicles/W1K1186861N201366/zaajqt6bex2r0rfxnkyu.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137182/vehicles/W1K1186861N201366/bxo2jkfq84qu6u6ayzzi.webp,68f8dcff299b2295231e3482,CLA 250 e Shooting Brake,Mercedes-Benz,CLA,HZAA050A,Shooting Brake,1332,Hibrido,automático,4,4x2 (FWD),118,160,230,6.9,235,205/55 R17,205/55 R17,155,C,#D2E165
W1K1770121N193226,67443,https://res.cloudinary.com/dileah1ig/image/upload/v1761137248/vehicles/W1K1770121N193226/p2cchb7ojtjzngawzysl.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137250/vehicles/W1K1770121N193226/bjmmwuqw3rsgz9mbwue7.webp,https://res.cloudinary.com/dileah1ig/image/upload/v1761137251/vehicles/W1K1770121N193226/qhmxxbonnznpvkvnqgdh.webp,68f8dcff299b2295231e3483,A 200 d Compacto,Mercedes-Benz,A,HZAA152C,Compacto,1950,Diesel,automático,4,4x2 (FWD),110,150,320,8.1,220,205/60 R16,205/60 R16,131,B,#94E890
